City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,oranjemund,-28.55,16.4333,19.69,68,34,2.36,NA,1700414388
209,altai,46.3722,96.2583,-0.73,45,88,2.83,MN,1700414388
210,mana,5.6592,-53.7767,29.78,66,56,4.42,GF,1700414388
211,bull savanna,17.8868,-77.5902,27.42,58,28,1.37,JM,1700414389
212,dongola,19.1667,30.4833,24.79,25,91,4.81,SD,1700414389
213,leua,48.2156,18.6071,6.94,91,100,1.23,SK,1700414389
214,longyearbyen,78.2186,15.6401,-9.09,73,75,4.63,SJ,1700414389
215,christchurch,-43.5333,172.6333,13.84,89,75,1.03,NZ,1700414389
216,pangody,65.85,74.4859,-23.02,98,87,4.36,RU,1700414390
217,tutong,4.8,114.65,25.05,93,100,1.54,BN,1700414390
218,alo,7.4178,6.7371,29.29,58,97,1.94,NG,1700414390
219,narasannapeta,18.4167,84.05,23.59,82,72,3.77,IN,1700414391
220,ambovombe,-25.1667,46.0833,24.52,81,26,1.4,MG,1700414391
221,badeggi,9.05,6.15,30.61,31,85,2.41,NG,1700414391
222,holualoa,19.6228,-155.9522,19.91,75,0,3.6,US,1700414391
223,nosy varika,-20.5833,48.5333,23.53,79,5,3.88,MG,1700414392
224,tsaratanana,-16.7833,47.65,28.86,51,80,2.25,MG,1700414392
225,gizo,-8.103,156.8419,27.64,81,62,3.25,SB,1700414392
226,yeniseysk,58.4497,92.1703,-10.59,74,92,6.71,RU,1700414392
227,hun,29.1268,15.9477,18.85,49,6,1.95,LY,1700414393
228,hohhot,40.8106,111.6522,-5.84,58,0,2.0,CN,1700414374
229,zag,46.9441,99.165,-7.97,82,98,0.94,MN,1700414393
230,padangsidempuan,1.3667,99.2667,22.78,98,100,0.85,ID,1700414393
231,kendari,-3.945,122.4989,25.03,87,8,0.58,ID,1700414394
232,kani keli,-12.9536,45.1033,28.59,72,14,1.85,YT,1700414394
233,sinabang,2.4803,96.3801,26.3,86,100,2.43,ID,1700414394
234,blagodatnoye,45.3997,42.5867,7.51,88,100,4.83,RU,1700414394
235,urengoy,65.9667,78.3667,-19.89,96,100,5.68,RU,1700414395
236,sinjai,-5.1241,120.253,25.03,81,5,1.87,ID,1700414395
237,arauca,7.0847,-70.7591,31.85,61,88,2.49,CO,1700414395
238,east ballina,-28.8667,153.5833,19.89,78,100,3.8,AU,1700414395
